Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
AAL,17.75,Put,17.5,2021-12-17,21,0.91,0.93,0.95,0.92,8636,191,45.21,61.76%,-0.432468,2021-11-26
PFE,54,Call,56,2021-12-03,7,0.58,0.61,0.64,0.59,15656,347,45.12,45.18%,0.288278,2021-11-26
ET,8.84,Call,9,2022-07-15,230,0.97,1,1.03,1.03,5656,128,44.19,44.90%,0.505825,2021-11-26
CCL,17.95,Put,16,2021-12-03,7,0.21,0.22,0.23,0.23,6046,146,41.41,94.31%,-0.172066,2021-11-26
KO,53.73,Call,54.5,2021-12-03,7,0.19,0.21,0.22,0.2,3953,112,35.29,16.76%,0.266682,2021-11-26
GM,60.17,Put,57.5,2021-12-03,7,0.51,0.53,0.55,0.53,4396,131,33.56,46.25%,-0.229338,2021-11-26
SABR,7.31,Put,5,2022-04-14,138,0.29,0.33,0.38,0.3,4405,132,33.37,73.42%,-0.142861,2021-11-26
CCL,17.95,Call,18,2021-12-03,7,0.72,0.74,0.76,0.78,5628,170,33.11,77.03%,0.510931,2021-11-26
DKNG,36.04,Call,35,2021-11-26,0,0.98,1.05,1.12,1.01,3659,111,32.96,54.83%,0.851342,2021-11-26
AAL,17.75,Call,17,2022-06-17,202,3.05,3.13,3.2,3.05,4693,150,31.29,51.79%,0.620252,2021-11-26
MRNA,329.63,Call,325,2021-11-26,0,4.25,4.93,5.6,5.75,3141,106,29.63,24.90%,0.864363,2021-11-26
AAL,17.75,Call,17.5,2021-12-17,21,1.17,1.19,1.21,1.12,4013,138,29.08,62.91%,0.567404,2021-11-26
MRK,79.16,Put,76,2021-12-03,7,0.7,0.74,0.78,0.73,3488,129,27.04,44.20%,-0.245995,2021-11-26
CSGP,77.59,Put,77,2021-12-17,21,2.05,2.18,2.3,1.9,3530,134,26.34,33.27%,-0.445893,2021-11-26
CCL,17.95,Put,17,2021-12-23,27,0.91,0.96,1,1,3979,170,23.41,75.32%,-0.356382,2021-11-26
AAL,17.75,Put,17,2021-12-03,7,0.4,0.41,0.41,0.4,5503,241,22.83,74.35%,-0.318826,2021-11-26
MRNA,329.63,Call,370,2021-12-03,7,6.75,6.9,7.05,7,2628,119,22.08,110.92%,0.249741,2021-11-26
AMZN,3504.56,Call,3530,2021-11-26,0,0.01,0.13,0.25,0.25,2811,128,21.96,8.04%,0.042021,2021-11-26
CCL,17.95,Put,17,2021-12-03,7,0.39,0.41,0.42,0.39,2222,106,20.96,80.25%,-0.29285,2021-11-26
AER,57.74,Call,62.5,2021-12-17,21,0.75,0.88,1,0.82,2119,102,20.77,43.75%,0.241335,2021-11-26
UBER,40.52,Call,40,2021-11-26,0,0.41,0.5,0.58,0.6,2849,138,20.64,27.96%,0.815023,2021-11-26
CCL,17.95,Call,19,2021-12-03,7,0.35,0.37,0.38,0.37,4203,205,20.5,77.05%,0.31584,2021-11-26
CTLT,132.31,Call,135,2021-12-17,21,3.7,4.45,5.2,5.8,7532,382,19.72,44.53%,0.446443,2021-11-26
GPS,17.33,Put,16,2022-06-17,202,1.99,2.1,2.21,2.12,4050,211,19.19,53.92%,-0.35256,2021-11-26
CCL,17.95,Put,18,2021-12-17,21,1.2,1.23,1.27,1.22,2376,124,19.16,69.57%,-0.473295,2021-11-26
SABR,7.31,Call,14,2022-04-14,138,0.1,0.33,0.57,0.11,4412,232,19.02,68.29%,0.0906,2021-11-26
M,30.48,Put,28,2021-12-03,7,0.28,0.3,0.31,0.32,4375,237,18.46,69.63%,-0.177445,2021-11-26
ZM,220.21,Call,220,2021-11-26,0,0.3,0.93,1.55,0.81,2009,109,18.43,15.34%,0.549341,2021-11-26
C,65.5,Put,65,2024-01-19,784,11.9,12.68,13.45,12.5,2000,110,18.18,30.53%,-0.421112,2021-11-26
PFE,54,Call,53,2021-12-17,21,2.29,2.37,2.45,2.28,4004,225,17.8,36.63%,0.595238,2021-11-26
AMZN,3504.56,Call,3535,2021-11-26,0,0.05,0.19,0.32,0.2,1803,103,17.5,8.94%,0.03154,2021-11-26
BLL,94.7,Put,82.5,2022-01-21,56,0.8,0.98,1.15,0.8,2819,165,17.08,32.38%,-0.126452,2021-11-26
ZM,220.21,Call,250,2021-12-03,7,1.45,1.53,1.6,1.65,2941,175,16.81,78.43%,0.132691,2021-11-26
GDDY,66.79,Put,62.5,2021-12-17,21,0.8,0.9,1,0.85,2402,154,15.6,39.04%,-0.224714,2021-11-26
C,65.5,Call,65,2021-11-26,0,0.46,0.54,0.61,0.56,3702,251,14.75,17.20%,0.8047,2021-11-26
DRNA,37.99,Call,40,2022-01-21,56,0.35,0.38,0.4,0.35,1602,112,14.3,17.48%,0.237078,2021-11-26
MRNA,329.63,Call,400,2021-12-03,7,3.5,3.58,3.65,3.58,7492,533,14.06,119.47%,0.138573,2021-11-26
AAL,17.75,Call,18,2021-12-03,7,0.54,0.56,0.58,0.57,8937,639,13.99,69.66%,0.461521,2021-11-26
RCL,67.98,Call,80,2022-03-18,111,4,4.08,4.15,4.05,7617,572,13.32,54.25%,0.346749,2021-11-26
AAL,17.75,Call,17.5,2021-11-26,0,0.21,0.27,0.33,0.25,8201,632,12.98,48.64%,0.717031,2021-11-26
BLL,94.7,Put,92.5,2022-01-21,56,3.1,3.3,3.5,3.14,2848,221,12.89,28.09%,-0.397375,2021-11-26
DKNG,36.04,Put,25,2022-04-14,138,1.22,1.33,1.43,1.36,5199,419,12.41,69.19%,-0.141634,2021-11-26
MRNA,329.63,Call,340,2021-12-03,7,14.2,14.6,15,14.45,2500,204,12.25,103.84%,0.442973,2021-11-26
AAL,17.75,Put,16.5,2021-12-03,7,0.27,0.28,0.29,0.27,2871,238,12.06,77.37%,-0.231069,2021-11-26
UAL,42.26,Call,43,2021-12-03,7,1.12,1.16,1.2,1.14,2518,222,11.34,62.88%,0.438148,2021-11-26
AMD,154.81,Put,142,2021-12-03,7,0.81,0.83,0.84,0.82,7978,709,11.25,57.18%,-0.129121,2021-11-26
AFRM,136.98,Call,135,2021-12-17,21,12.3,12.6,12.9,12.5,6643,592,11.22,88.39%,0.569423,2021-11-26
MA,324.17,Call,345,2021-12-03,7,0.92,1,1.08,0.97,1860,166,11.2,37.47%,0.11982,2021-11-26
ARQQ,34.85,Call,35,2022-01-21,56,3.2,3.4,3.6,3.1,2301,206,11.17,63.77%,0.543221,2021-11-26
MRNA,329.63,Call,510,2021-12-03,7,0.4,0.42,0.44,0.44,1218,110,11.07,145.33%,0.019344,2021-11-26
OCGN,6.45,Call,7,2021-12-03,7,0.23,0.24,0.25,0.22,2068,188,11,125.13%,0.349902,2021-11-26
SNAP,49.76,Put,56,2021-11-26,0,6.1,6.2,6.3,6.12,1106,101,10.95,130.94%,-0.955659,2021-11-26
MRNA,329.63,Call,330,2021-12-03,7,18.1,18.18,18.25,18.33,3289,301,10.93,100.83%,0.524674,2021-11-26
WYNN,85.69,Call,90,2021-12-03,7,1.05,1.1,1.14,1.07,1357,125,10.86,55.53%,0.274397,2021-11-26
TDOC,109.61,Call,130,2021-12-03,7,0.26,0.29,0.32,0.32,2481,231,10.74,78.29%,0.064355,2021-11-26
JNJ,159.2,Call,160,2021-12-03,7,1.5,1.59,1.68,1.71,1089,103,10.57,22.62%,0.437398,2021-11-26
ZM,220.21,Call,235,2021-12-03,7,3.1,3.3,3.5,3.27,3378,320,10.56,69.61%,0.265625,2021-11-26
AMAT,143.29,Put,130,2022-04-14,138,8.25,8.43,8.6,8.4,1859,177,10.5,41.78%,-0.308191,2021-11-26
AFRM,136.98,Call,136,2021-11-26,0,0.7,0.85,1,0.8,2288,219,10.45,9.27%,0.932256,2021-11-26
KIM,23.24,Put,22.5,2022-01-21,56,0.85,0.95,1.05,0.95,6606,634,10.42,35.00%,-0.389857,2021-11-26
PDD,68.46,Put,60,2021-12-03,7,0.87,0.97,1.06,0.95,1328,129,10.29,106.19%,-0.165842,2021-11-26
RCL,67.98,Call,100,2022-03-18,111,1.08,1.21,1.34,1.2,7306,717,10.19,55.01%,0.131362,2021-11-26
ABNB,173.86,Put,155,2021-12-03,7,0.55,0.56,0.57,0.55,2891,284,10.18,60.85%,-0.080004,2021-11-26
PXD,181.73,Call,140,2022-01-21,56,40.7,42.3,43.9,43.2,1095,108,10.14,53.14%,0.912427,2021-11-26
AMZN,3504.56,Call,3520,2021-11-26,0,0.1,0.93,1.76,0.3,1381,137,10.08,5.63%,0.066791,2021-11-26
GPS,17.33,Put,18,2021-11-26,0,0.61,0.66,0.7,0.7,1100,110,10,59.47%,-0.887644,2021-11-26
AAL,17.75,Call,18,2021-12-10,14,0.75,0.78,0.8,0.79,2282,230,9.92,65.16%,0.481821,2021-11-26
MRNA,329.63,Call,330,2021-11-26,0,0.6,0.96,1.31,1.27,8045,812,9.91,21.17%,0.461635,2021-11-26
BNTX,348,Call,400,2021-12-03,7,6,6.85,7.7,7,1133,116,9.77,120.32%,0.225886,2021-11-26
GME,199.72,Call,510,2021-12-03,7,0.23,0.23,0.23,0.23,1794,184,9.75,269.84%,0.010137,2021-11-26
KR,43.14,Put,41,2021-12-03,7,0.49,0.51,0.52,0.53,3593,371,9.68,55.99%,-0.24487,2021-11-26
AAPL,156.81,Call,160,2022-01-07,42,4.8,5.15,5.5,5.35,1888,196,9.63,32.00%,0.446146,2021-11-26
TSLA,1081.92,Put,1085,2021-11-26,0,1.18,2.34,3.5,1.6,13620,1429,9.53,6.58%,-0.796447,2021-11-26
BAC,45.76,Put,43.5,2021-12-17,21,0.68,0.69,0.7,0.68,1184,126,9.4,36.13%,-0.268395,2021-11-26
JNJ,159.2,Call,162.5,2021-12-03,7,0.73,0.76,0.79,0.75,5466,589,9.28,22.51%,0.255638,2021-11-26
AAL,17.75,Put,16,2021-12-03,7,0.19,0.2,0.2,0.19,3050,329,9.27,82.48%,-0.166999,2021-11-26
PFE,54,Put,48.5,2021-12-17,21,0.18,0.2,0.22,0.2,2473,268,9.23,34.41%,-0.092878,2021-11-26
CGNX,76.19,Call,75,2022-02-18,84,6,6.35,6.7,6.64,920,102,9.02,41.85%,0.569917,2021-11-26
BABA,133.35,Call,133,2021-11-26,0,0.35,0.45,0.55,0.4,3488,387,9.01,6.18%,0.794055,2021-11-26
OCGN,6.45,Call,6.5,2021-12-03,7,0.38,0.4,0.41,0.41,1006,112,8.98,121.61%,0.515329,2021-11-26
DOW,57.6,Call,40,2022-01-21,56,17.5,17.6,17.7,17.5,1240,139,8.92,59.65%,0.96216,2021-11-26
PXD,181.73,Call,145,2022-01-21,56,35.6,37.3,39,38.2,1980,223,8.88,47.65%,0.903444,2021-11-26
SU,24.77,Put,21,2021-12-17,21,0.2,0.23,0.25,0.2,7490,846,8.85,59.25%,-0.110465,2021-11-26
DD,76.96,Call,40,2022-01-21,56,35.2,36.7,38.2,36.9,1990,226,8.81,131.44%,0.935782,2021-11-26
BA,199.21,Call,210,2021-12-03,7,1.35,1.39,1.42,1.41,2054,234,8.78,44.99%,0.207433,2021-11-26
PFE,54,Put,49,2021-12-31,35,0.41,0.48,0.55,0.43,1832,210,8.72,31.16%,-0.151858,2021-11-26
MA,324.17,Call,340,2021-12-10,14,3.35,3.6,3.85,3.5,1532,176,8.7,36.16%,0.26104,2021-11-26
MRNA,329.63,Call,350,2021-12-03,7,11.2,11.5,11.8,11.3,9190,1061,8.66,105.82%,0.368485,2021-11-26
DWAC,43.1,Put,35,2021-12-03,7,1.95,1.98,2,1.95,1196,139,8.6,233.08%,-0.209988,2021-11-26
BBIG,3.28,Call,3,2021-12-03,7,0.38,0.4,0.41,0.38,950,112,8.48,121.91%,0.730105,2021-11-26
PFE,54,Call,58,2021-12-03,7,0.3,0.32,0.35,0.35,1991,236,8.44,52.75%,0.171277,2021-11-26
ROKU,235.16,Call,240,2021-12-03,7,6,6.18,6.35,6,1279,152,8.41,62.44%,0.423774,2021-11-26
AMD,154.81,Put,157.5,2021-12-17,21,9.25,9.3,9.35,8.55,2342,279,8.39,52.81%,-0.528852,2021-11-26
UBER,40.52,Call,42,2021-12-03,7,0.58,0.6,0.62,0.6,1671,203,8.23,52.53%,0.323981,2021-11-26
UAL,42.26,Put,35,2021-12-17,21,0.54,0.55,0.56,0.56,16485,2013,8.19,76.67%,-0.131939,2021-11-26
BA,199.21,Call,190,2021-12-17,21,14.25,14.43,14.6,13.65,2138,262,8.16,48.80%,0.678442,2021-11-26
CRSP,78.79,Put,125,2023-01-20,420,55.1,57.05,59,55.99,1000,123,8.13,64.44%,-0.625819,2021-11-26
ACB,6.79,Call,7,2021-12-03,7,0.19,0.2,0.21,0.2,1797,221,8.13,76.98%,0.408144,2021-11-26
NWL,22.46,Call,13,2022-01-21,56,8.8,9.25,9.7,9.4,1605,199,8.07,107.01%,0.934007,2021-11-26
PXD,181.73,Call,135,2022-01-21,56,45.6,47.25,48.9,47,2038,253,8.06,43.35%,0.968884,2021-11-26
EQH,32.45,Put,30,2021-12-17,21,0.2,0.6,1,0.37,1300,163,7.98,40.67%,-0.199734,2021-11-26
EAT,36.13,Put,30,2022-04-14,138,2,2.25,2.5,2.5,1260,160,7.88,61.93%,-0.248495,2021-11-26
QCOM,175.74,Put,140,2022-02-18,84,2.25,2.51,2.78,2.46,1316,167,7.88,44.16%,-0.121681,2021-11-26
PXD,181.73,Call,120,2022-01-21,56,60.1,62.2,64.3,62.4,3525,448,7.87,65.64%,0.959945,2021-11-26
GLPI,45.55,Put,45,2022-01-21,56,1.7,1.95,2.2,1.85,2389,304,7.86,27.48%,-0.460484,2021-11-26
M,30.48,Call,30.5,2021-12-03,7,1.09,1.12,1.15,1.12,992,127,7.81,67.39%,0.51446,2021-11-26
DOW,57.6,Call,30,2022-01-21,56,27.45,27.63,27.8,27.5,1520,196,7.76,104.72%,0.966148,2021-11-26
APA,26.24,Call,26,2021-11-26,0,0.2,0.3,0.4,0.48,848,110,7.71,27.88%,0.739078,2021-11-26
CCL,17.95,Put,15,2021-12-17,21,0.3,0.32,0.33,0.31,2522,328,7.69,81.46%,-0.15461,2021-11-26
HUN,32.57,Put,29,2022-01-21,56,0.55,0.6,0.65,0.61,1411,184,7.67,38.57%,-0.204634,2021-11-26
AER,57.74,Call,57.5,2021-12-17,21,2.65,2.88,3.1,2.58,1854,242,7.66,49.94%,0.537865,2021-11-26
BA,199.21,Call,200,2021-12-03,7,4.55,4.65,4.75,4.69,3404,447,7.62,46.02%,0.48803,2021-11-26
SNAP,49.76,Call,49,2021-11-26,0,0.68,0.86,1.03,0.77,1372,183,7.5,18.10%,0.949659,2021-11-26
GOOGL,2843.66,Put,2860,2021-11-26,0,9.9,13.75,17.6,13.05,854,114,7.49,10.75%,-0.846752,2021-11-26
OXY,29.7,Call,31,2021-12-23,27,1.35,1.41,1.46,1.45,876,117,7.49,61.87%,0.432221,2021-11-26
EBAY,72.47,Call,76,2021-12-03,7,0.31,0.35,0.38,0.34,4395,599,7.34,36.23%,0.177143,2021-11-26
BNTX,348,Call,360,2021-11-26,0,0.05,0.08,0.1,0.1,1163,159,7.31,36.57%,0.037988,2021-11-26
AAL,17.75,Call,17,2021-11-26,0,0.71,0.74,0.77,0.67,2113,289,7.31,59.58%,0.920742,2021-11-26
AAL,17.75,Call,18.5,2021-12-31,35,0.94,0.97,1,0.91,810,111,7.3,58.60%,0.445656,2021-11-26
CLF,21.84,Put,19.5,2021-12-03,7,0.11,0.12,0.13,0.15,934,128,7.3,70.10%,-0.111955,2021-11-26
CODX,9.56,Call,10,2021-12-03,7,0.35,0.38,0.4,0.4,971,133,7.3,110.10%,0.413393,2021-11-26
AAL,17.75,Call,17,2021-12-03,7,1.12,1.15,1.18,1.16,2314,318,7.28,75.46%,0.679251,2021-11-26
PFE,54,Call,54,2021-11-26,0,0.02,0.07,0.12,0.1,16611,2306,7.2,9.10%,0.495635,2021-11-26
FTAI,23.36,Put,22,2021-12-17,21,0.65,0.75,0.85,0.9,901,127,7.09,59.79%,-0.318509,2021-11-26
MRNA,329.63,Put,300,2021-12-03,7,5.5,5.75,6,5.9,1507,214,7.04,96.15%,-0.219427,2021-11-26
CVS,91.52,Put,80,2022-03-18,111,1.67,1.71,1.75,1.73,1438,205,7.01,29.72%,-0.192455,2021-11-26
AMC,37.63,Call,37,2021-11-26,0,0.56,0.68,0.79,0.59,6346,914,6.94,51.48%,0.740463,2021-11-26
PFE,54,Put,52,2021-12-03,7,0.4,0.41,0.42,0.38,1306,189,6.91,38.70%,-0.235473,2021-11-26
AAL,17.75,Call,19,2021-12-03,7,0.21,0.22,0.23,0.22,13799,2013,6.85,65.72%,0.241281,2021-11-26
SOFI,18.21,Call,19,2021-12-03,7,0.34,0.35,0.35,0.34,1485,218,6.81,64.36%,0.332932,2021-11-26
HOOD,27.92,Call,27,2021-11-26,0,0.71,0.89,1.07,0.7,1513,223,6.78,83.42%,0.786652,2021-11-26
PFE,54,Put,55,2021-11-26,0,0.74,1.01,1.27,1.11,829,125,6.63,38.56%,-0.81851,2021-11-26
FCX,37.24,Call,36,2021-12-03,7,1.81,1.9,1.99,1.94,779,118,6.6,60.54%,0.671658,2021-11-26
OXY,29.7,Put,28,2021-12-03,7,0.38,0.41,0.43,0.42,1570,238,6.6,66.56%,-0.246479,2021-11-26
GIII,30.71,Call,30,2021-12-17,21,2.35,2.78,3.2,2.24,1053,160,6.58,82.86%,0.586018,2021-11-26
LCID,51.72,Put,51,2021-12-03,7,2.76,2.8,2.84,2.8,1269,193,6.58,111.03%,-0.433233,2021-11-26
C,65.5,Put,64,2021-12-03,7,0.57,0.6,0.63,0.6,1960,305,6.43,33.32%,-0.303765,2021-11-26
ECL,226.23,Call,230,2021-12-17,21,3.2,3.6,4,4,1097,171,6.42,26.23%,0.406132,2021-11-26
MRNA,329.63,Put,340,2021-11-26,0,8.65,9.83,11,9.61,2016,314,6.42,53.76%,-0.863237,2021-11-26
KR,43.14,Call,44,2021-12-03,7,0.98,1.03,1.08,1,4804,749,6.41,57.92%,0.416772,2021-11-26
TSLA,1081.92,Call,1125,2023-01-20,420,279.3,284.03,288.75,290,5572,874,6.38,65.73%,0.618309,2021-11-26
DWAC,43.1,Put,30,2021-12-03,7,1,1.05,1.1,1.15,2399,377,6.36,259.59%,-0.117458,2021-11-26
PXD,181.73,Call,150,2021-12-17,21,31.2,32.4,33.6,32.2,5330,854,6.24,51.82%,0.946264,2021-11-26
TSLA,1081.92,Call,1085,2021-11-26,0,0.11,0.27,0.43,0.3,5760,923,6.24,5.78%,0.172448,2021-11-26
MRNA,329.63,Call,320,2021-12-03,7,22.3,23.78,25.25,23.59,1964,315,6.23,102.48%,0.610271,2021-11-26
TSLA,1081.92,Call,1150,2023-01-20,420,270.85,275.43,280,276.78,8563,1375,6.23,65.99%,0.607033,2021-11-26
PFE,54,Call,58,2021-12-17,21,0.7,0.74,0.78,0.66,993,160,6.21,41.24%,0.245274,2021-11-26
DAL,36.38,Call,38,2021-12-03,7,0.53,0.57,0.61,0.52,1108,179,6.19,58.99%,0.311224,2021-11-26
PFE,54,Call,61,2021-12-03,7,0.14,0.15,0.16,0.16,690,112,6.16,61.06%,0.079915,2021-11-26
KO,53.73,Put,53.5,2021-12-17,21,1.02,1.05,1.07,1.04,721,117,6.16,21.63%,-0.468739,2021-11-26
DAL,36.38,Call,39,2022-03-18,111,2.69,2.79,2.89,2.78,10320,1677,6.15,47.80%,0.447728,2021-11-26
ALPP,2.7,Call,5,2022-01-21,56,0.2,0.23,0.25,0.23,1192,195,6.11,170.92%,0.279134,2021-11-26
SE,296.82,Call,310,2021-12-03,7,3.3,3.4,3.5,3.4,1065,175,6.09,50.09%,0.277101,2021-11-26
INO,7.25,Put,6,2022-01-21,56,0.39,0.43,0.47,0.39,3540,581,6.09,85.40%,-0.231591,2021-11-26
CSCO,54.67,Put,53.5,2021-12-17,21,0.75,0.8,0.86,0.86,845,139,6.08,25.82%,-0.360107,2021-11-26
AMC,37.63,Call,39,2021-12-03,7,1.35,1.4,1.44,1.41,2366,389,6.08,95.57%,0.419201,2021-11-26
DAL,36.38,Put,35,2021-12-03,7,0.63,0.66,0.68,0.66,1194,198,6.03,62.35%,-0.311625,2021-11-26
DAL,36.38,Put,20,2023-01-20,420,0.84,0.92,1,1,4045,673,6.01,51.16%,-0.08546,2021-11-26
JWN,22.41,Put,20,2021-12-17,21,0.41,0.44,0.48,0.4,628,105,5.98,64.85%,-0.209098,2021-11-26
TSLA,1081.92,Put,1090,2021-11-26,0,5.6,7.27,8.95,6.24,19827,3339,5.94,15.71%,-0.817895,2021-11-26
BA,199.21,Put,195,2021-12-03,7,3.3,3.4,3.5,3.35,4140,698,5.93,47.64%,-0.360545,2021-11-26
XOM,61.25,Call,67.5,2022-07-15,230,3.25,3.35,3.45,3.32,628,106,5.92,32.71%,0.356135,2021-11-26
INTC,48.78,Call,49,2021-12-17,21,1.21,1.23,1.25,1.27,734,124,5.92,29.27%,0.480882,2021-11-26
BABA,133.35,Call,140,2021-12-03,7,1.2,1.24,1.28,1.27,2699,456,5.92,48.71%,0.245877,2021-11-26
MGM,41.85,Call,43,2022-01-21,56,2.43,2.51,2.58,2.49,765,132,5.8,45.73%,0.475749,2021-11-26
